split,source_dir,source_file,Timestamp,ts_rel_s,Arbitration_ID,DLC,Data,Class,SubClass,data_len_bytes
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.646978,0.0,130,8,0080B08000000A41,Normal,Normal,8
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.647217,0.0002391338348388672,140,8,C87F007220000A30,Normal,Normal,8
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.647435,0.0004570484161376953,260,8,0526013000BB572B,Normal,Normal,8
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.647883,0.0009050369262695312,329,8,4ABF7D8C312A0010,Normal,Normal,8
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.648119,0.0011410713195800781,251,8,F603131800F9F77F,Normal,Normal,8
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.64832,0.0013420581817626953,2B0,6,16000007330B,Normal,Normal,6
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.64855,0.0015721321105957031,340,8,FC0300E4C721B23C,Normal,Normal,8
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.648793,0.0018150806427001953,42D,8,0000000000D007FA,Normal,Normal,8
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.649041,0.0020630359649658203,53E,8,000000000CCF0000,Normal,Normal,8
test,C:\Users\GNKRISHNAN\Documents\CODING\IEEE_EV\data\0_Preliminary\1_Submission,Pre_submit_D.csv,1599046795.6501222,0.0031442642211914062,164,4,00081BA9,Normal,Normal,4
